MF,StockGroup,Part/Description,RtnQty,DLS,DPS,O/H,Cost,Value
HY,200,CUT : KEY,1,15,25,0,0.01,0
HY,210,CWF46-ACF00 : REAR MUD GUARD KIT,1,1257,1325,0,22,0
HY,200,KLC79-AC001 : FILTER-AIR CONDITIONER,1,0,1,10,34.97,349.7
HY,200,K5F61-AU100 : TOW HITCH KIT,1,,,1,379,379
HY,200,NPNANTFREZ : ANTI-FREEZE/COOLANT,6,402,,0,1,0
HY,200,"P9F13-AU000 : LINER, ALL SEASON FLOOR",1,21,126,1,217,217
HY,200,00F05-AU000-A5G : T/U PAINT AMAZON GRAY,1,183,1148,0,19,0
HY,200,00232-19061 : RTV SILICONE GRAY GASKET MAKER,1,8,415,0,11.51,0
HY,200,00232-19068-WAR : R-1234YF REFRIGERANT WARRANTY,10,287,,0,3.52,0
HY,200,"00232-19098 : PINK, ANTIFREEZE/COOLANT",1,2,2,8,22.92,183.36
HY,200,00268-3BBS4 : CORE VALUE,1,147,870,0,1000,0
HY,201,00268-3D340 : CORE VALUE,1,372,,0,1000,0
HY,200,00268-3F835 : CORE VALUE,1,140,,0,1000,0
HY,200,09131-N1001-QQH : SEALANT CAP KIT-TMK,1,311,639,0,4.24,0
HY,200,11274-06256-K : BOLT,17,8,94,21,1.22,25.62
HY,200,18849-09075 : PLUG ASSY-SPARK,4,,,4,31.79,127.16
HY,200,18849-11070 : PLUG ASSY-SPARK,6,58,231,4,21.21,84.84
HY,200,21101-111ZT-FFHRM : CORE VALUE,1,,,0,1000,0
HY,200,21101-2EG08-FFHRM : CORE VALUE,4,44,46,3,1000,3000
HY,200,21101-2GK02-QQHRM : CORE VALUE,2,15,710,1,1000,1000
HY,200,21101-2GK04-QQHRM : CORE VALUE,1,119,210,0,1000,0
HY,200,21101-2GK31-QQHRM : CORE VALUE,1,333,340,0,1000,0
HY,200,22400-3C000-QQH : SERVICE KIT,1,59,396,1,5.42,5.42
HY,201,"22441-3C110 : GASKET-ROCKER COVER,RH",1,492,940,1,36.86,36.86
HY,200,"22453-3C120-QQH : GASKET-ROCKER COVER,LH",1,59,396,0,9.15,0
HY,200,25100-2S000 : PUMP ASSY-COOLANT,1,142,,1,216.89,216.89
HY,200,25130-2S000 : GASKET-WATER PUMP,1,477,,1,7.94,7.94
HY,200,25212-2GGA1 : RIBBED BELT-V,2,29,36,0,51.38,0
HY,200,25212-2GGB0 : BELT V,1,36,954,0,52.9,0
HY,200,25212-2S000 : RIBBED BELT-V,1,681,724,1,29.03,29.03
HY,200,25212-2S050 : BELT-WATER PUMP,1,681,,1,19.03,19.03
HY,200,25472-2E000 : HOSE-COOLANT BY PASS,1,,,0,19.11,0
HY,200,25480-2E010 : HOSE ASSY-HEATER PIPE,1,,,0,18.73,0
HY,200,25600-2E500 : CONTROL ASSY-COOLANT TEMPERATU,1,,,0,83.29,0
HY,200,25600-2S001 : INTEGRATED THERMAL-MANAGEMENT,1,633,641,0,115.29,0
HY,200,26320-3CKB0 : SERVICE KIT-OIL FILTER(2),1,0,0,16,8,128
HY,200,26345-3LAA0 : SEAL-OIL,1,92,282,0,4.38,0
HY,200,26350-2S001 : SERVICE KIT-OIL FILTER,6,0,1,36,10.56,380.16
HY,200,28110-D3300 : CLEANER ASSY-AIR,1,1093,1095,0,107.68,0
HY,200,28110-L0400 : CLEANER ASSY-AIR,1,,,1,149.77,149.77
HY,200,28113-P0400 : FILTER-AIR CLEANER,1,30,94,8,17.92,143.36
HY,200,28115-C1500 : COVER,1,,,1,11.46,11.46
HY,200,28491-2E900 : GASKET-EGR PIPE,1,210,512,0,5.03,0
HY,200,28491-2E920 : GASKET-EGR PIPE,1,204,512,0,15.57,0
HY,200,28918-2M431-QQH : CHECK VALVE ASSY,1,252,,0,14.78,0
HY,200,29110-K5000 : PANEL ASSY-UNDER COVER,1,359,,1,129.24,129.24
HY,200,35340-2G700 : PIPE-DELIVERY,1,,,0,223.74,0
HY,200,39210-2E101 : SENSOR ASSY-OXYGEN,1,681,715,1,186.03,186.03
HY,200,47318-39300 : COVER-DUST,1,876,991,0,9.9,0
HY,201,47800-39420 : COUPLING ASSY-4WD,1,,,0,1207.76,0
HY,200,47830-3B500 : CONNECTOR ASSY,1,,,1,22.82,22.82
HY,200,"49500-GA800 : SHAFT ASSY-DRIVE,LH",1,,,0,375.17,0
HY,200,51712-L0100 : DISC-FRONT WHEEL BRAKE,2,24,1018,2,130.6,261.2
HY,200,51712-R5000 : DISC-FRONT WHEEL BRAKE,2,,,2,153.1,306.2
HY,200,55367-S8BD0 : SHOCK ABSORBER ASSY-REAR,2,162,546,1,279.78,279.78
HY,200,58101-N9A11 : PAD KIT-FRONT DISC BRAKE,1,0,3,1,56.2,56.2
HY,200,58302-N9A15 : PAD KIT-REAR DISC BRAKE,2,0,4,1,71.59,71.59
HY,200,58302-S9A35 : PAD KIT-REAR DISC BRAKE,1,7,22,2,60.97,121.94
