Part,Description,Bin,Stock Max,ROP,On Hand,On Order,Qty Sugg,Status,Avg Month,Hi Mth,Lo Mth
0023219020,PSF-4 POWER STEERING FLUID         ,405,0,0,1,0,0,Non,0,0,0
0023219022,"PAG A/C COMPRESSOR OIL, 8OZ        ",BULK,0,0,3,0,0,Non,0,0,0
0023219033,"BRAKE FLUID, DOT 3, 12OZ.          ",405,0,0,12,0,0,Non,0,0,0
0023219034,RUST PREVENTIVE VG-101 (CAV. WAX)  ,BULK,0,0,1,0,0,Non,0,0,0
0023219035,UNDERCOATING AEROSOL               ,BULK,0,0,7,0,0,Non,0,0,0
0023219037,75W-90 GEAR OIL-DIFFERENTIALS      ,BULK,1,1,5,0,0,Actv,0.5,2,0
0023219053,"BRAKE FLUID, DOT 4, 12 OZ.         ",BULK,0,0,22,0,0,Non,0,0,0
0023219061,RTV SILICONE GRAY GASKET MAKER     ,405,4,3,0,6,0,Actv,3.5,5,2
0023219063,MTF-70W DUAL CLUTCH TRANS FLUID    ,BULK,0,0,7,0,0,Non,0,0,0
0023219075,"75W-85 GEAR OIL, GL-5, LSD         ",BULK,1,1,12,0,0,Actv,0.67,2,0
0023219081,SP-CVT 1                           ,BULK,0,0,18,0,12,Non,1.17,7,0
0023219097,"75W-85 GEAR OIL,NON-FM,GL-5        ",BULK,0,0,10,0,0,Non,1.67,10,0
0023219098,"PINK, ANTIFREEZE/COOLANT           ",BULK,6,5,8,0,8,Actv,4.5,15,1
0023219100,WDCTF HD G GEAR OIL                ,BULK,2,2,9,0,0,Actv,0.67,4,0
0023219101,WDCTF HD H CONTROL OIL             ,BULK,2,1,5,0,0,Actv,0.5,3,0
0023219108,"DCT FLUID, TGO-10, 70W GL-4        ",BULK,0,0,5,0,0,Non,0.5,3,0
0023219109,HK TECHNOLOGY ENGINE CLEANING FLUID,BULK,3,3,36,0,0,Actv,2.67,8,0
0023219113,ELECTRIC VEHICLE BATTERY SYSTEM COO,BULK,0,0,5,0,0,Non,0.33,2,0
0027518001,INTERSTATE BATTERY-H5              ,A2/C00,0,0,1,0,1,Non,0.33,1,0
0027528001,"BATTERY, AGM, H5A                  ",A2/C00,1,1,1,1,1,Actv,0.33,1,0
005DN264016706,"245/45R18, 96Y, CONQUEST SPORT     ",DRIVE,0,0,4,0,0,Non,0,0,0
005GY767113673,"235/55R19, 105V, ASSURANCE WEA     ",DRIVE,2,1,0,0,0,Actv,2,5,0
005MC38373,CROSSCLIMATE 2 A/W XL BSW          ,NO BIN,1,1,0,0,0,Actv,0.67,4,0
00F05AU000TCM,TU PAINT PEN TCM                   ,SPORD,1,1,0,0,0,Hold,0.33,1,0
00F05AU000WC9,TU Paint Pen WC9                   ,B2/G00,0,0,2,0,2,Non,0.5,3,0
00F09AU011RL2,"11"" REAR WIPER BLADE RL2           ",RACK,2,1,5,0,0,Actv,0.33,2,0
00F09AU012RL2,"12"" REAR WIPER BLADE RL2           ",RACK,1,1,6,0,0,Actv,1.17,5,0
00F09AU013RB4,"13"" REAR WIPER BLADE BEAM RL4      ",RACK,0,0,2,0,0,Non,0.17,1,0
00F09AU014FL,"14"" FLAT WIPER BLADE               ",RACK,0,0,12,0,0,Non,0,0,0
00F09AU014RL2,"14"" REAR WIPER BLADE RL2           ",RACK,1,1,3,0,3,Actv,1.17,4,0
00F09AU016FL,"16"" FLAT WIPER BLADE               ",RACK,0,0,16,0,0,Non,0.17,1,0
00F09AU018CV,"18"" CONVENTIONAL WIPER BLADE       ",RACK,2,2,2,0,2,Actv,0.5,2,0
00F09AU018FL,"18"" FLAT WIPER BLADE               ",RACK,0,0,14,0,0,Non,0,0,0
00F09AU020FL,"20"" FLAT WIPER BLADE               ",RACK,0,0,14,0,0,Non,0,0,0
00F09AU022FL,"22"" FLAT WIPER BLADE               ",RACK,0,0,10,0,0,Non,0,0,0
00F09AU024FL,"24"" FLAT WIPER BLADE               ",RACK,0,0,14,0,0,Non,0,0,0
00F09AU026FL,"26"" FLAT WIPER BLADE               ",RACK,0,0,10,0,0,Non,0.17,1,0
00F09AU028FL,"28"" FLAT WIPER BLADE               ",RACK,0,0,12,0,0,Non,0,0,0
00F09AU118FL,"18"" FLAT WIPER BLADE W/ CONNECTOR  ",RACK,0,0,20,0,0,Non,0,0,0
00F09AU120FL,"20"" FLAT WIPER BLADE W/ CONNECTOR  ",RACK,0,0,10,0,0,Non,0,0,0
00F09AU124FL,"24"" FLAT WIPER BLADE W/ CONNECTOR  ",RACK,0,0,5,0,0,Non,0,0,0
00F53AM700,PORTABLE JUMP STARTER W/ USB POWER ,B2/D00,0,0,1,0,0,Non,0,0,0
00F73AU000,PERSONAL SAFETY KIT                ,B2/D00,0,0,1,0,0,Non,0,0,0
087902E250A,FILTER-AIR                         ,400,0,0,3,0,0,Non,0,0,0
087902G000A,FILTER-AIR                         ,403,0,0,2,0,0,Non,0,0,0
087902H000A,AIR FILTER                         ,403,1,1,2,0,1,Actv,0.5,2,0
087903D000A,FILTER-AIR                         ,401,0,0,2,0,0,Non,0,0,0
087903M000A,AIR FILTER                         ,402,0,0,4,0,0,Non,0,0,0
0895000020B,MTF-MANUAL TRANSMISSION  75W/85    ,BULK,0,0,25,0,0,Non,0,0,0
091470X000,HOOK-TOWING                        ,C1/F25,0,0,1,0,0,Non,0,0,0
0JF0313465,NUT                                ,B1/I09,0,0,2,0,0,Non,0.5,3,0
1022510003,NUT-SELF LOCKING                   ,B1/G10,0,0,4,0,0,Non,0,0,0
1022510007K,NUT-SELF LOCKING                   ,B1/F06,0,0,1,0,0,Non,0,0,0
1022512007K,NUT-SELF LOCKING                   ,B1/F24,0,0,4,0,0,Non,0,0,0
1022608007K,NUT(FLANGE)                        ,B1/G24,3,3,15,0,15,Actv,4.5,18,0
1123506226K,BOLT                               ,B1/F04,2,2,10,0,10,Actv,2,6,0
1125106161,BOLT-WASHER ASSY                   ,B1/F16,0,0,4,0,0,Non,0,0,0
1125108206BQQH,BOLT(W/WASHER)                     ,A1/G02,0,0,3,0,0,Non,0,0,0
1125406206B,BOLT                               ,B1/G29,0,0,4,0,0,Non,0,0,0
1125406256K,BOLT                               ,B1/J16,0,0,8,0,0,Non,0,0,0
1125408206KQQH,BOLT-WASHER ASSY                   ,A1/H05,0,0,5,0,0,Non,0,0,0
1127406256K,BOLT                               ,B1/G23,4,4,21,0,10,Actv,3.5,11,0
1140306126K,BOLT                               ,B1/G16,0,0,6,0,0,Non,0,0,0
1140306141,BOLT                               ,B1/F36,0,0,6,0,0,Non,0,0,0
1140306226B,BOLT                               ,B1/I04,0,0,5,0,0,Non,0,0,0
1140306256K,BOLT                               ,B1/F08,0,0,4,0,0,Non,0,0,0
1140306606K,BOLT                               ,B1/F02,0,0,5,0,5,Non,0,0,0
1140308146P,BOLT-FLANGE(8*65)                  ,B1/F05,0,0,14,0,0,Non,0,0,0
1140308406K,BOLT                               ,B1/G23,4,4,4,0,4,Actv,0.67,3,0
1140308506K,BOLT                               ,B1/G31,0,0,9,0,0,Non,0,0,0
1140308556K,BOLT                               ,B1/G20,0,0,5,0,0,Non,0,0,0
1140308756K,BOLT-FLANGE                        ,B1/I29,2,2,3,0,3,Actv,2.67,8,0
1140308806K,BOLT                               ,B1/G14,0,0,7,0,0,Non,0,0,0
1140506126K,BOLT-FLANGE                        ,B1/F03,0,0,5,0,0,Non,0,0,0
1140506206K,BOLT-FLANGE                        ,B1/F27,0,0,8,0,4,Non,0,0,0
1140508201,BOLT-FLANGE                        ,B6/G13,0,0,9,0,0,Non,0,0,0
1140508406K,BOLT-FLANGE                        ,B1/J18,0,0,1,0,0,Non,0,0,0
1140610856K,BOLT                               ,B6/F20,0,0,5,0,0,Non,0,0,0
1151308406K,STUD                               ,B1/G19,0,0,3,0,0,Non,0,0,0
1153306186K,STUD                               ,B1/F42,0,0,4,0,0,Non,0.33,2,0
1198310306K,BOLT-SEAL RING                     ,B1/F03,0,0,2,0,0,Non,0,0,0
1220306167K,SCREW-MACHINE                      ,B1/G15,0,0,4,0,0,Non,0,0,0
1221006257K,SCREW-MACHINE                      ,B1/F39,0,0,8,0,0,Non,0,0,0
1229406203,SCREW-MACHINE                      ,B1/I28,0,0,1,0,0,Non,0,0,0
1244206257B,SCREW-TAPPING                      ,B1/F10,0,0,17,0,0,Non,0,0,0
1249306207B,SCREW-TAPPING                      ,B1/F30,0,0,6,0,0,Non,0,0,0
1249306207E,SCREW-TAPPING                      ,B1/J17,0,0,4,0,0,Non,1.67,10,0
1249306257E,SCREW-TAPPING                      ,C1/F11,0,0,7,0,0,Non,0,0,0
1318012000,NUT                                ,B1/G22,0,0,2,0,0,Non,0,0,0
1318312000,NUT                                ,B1/G33,0,0,5,0,0,Non,0,0,0
1327105001,NUT                                ,B1/F13,0,0,8,0,0,Non,0,0,0
1338508007KQQH,NUT-FLANGE                         ,A1/F17,0,0,18,0,0,Non,0,0,0
1339606007K,NUT-FLANGE                         ,B1/F29,0,0,12,0,0,Non,0.33,2,0
1360314006K,WASHER-SPRING                      ,B1/F17,0,0,2,0,0,Non,0,0,0
1416003133,RIVET-BLIND                        ,B1/J04,0,0,10,0,10,Non,0,0,0
1420608250B,CLIP                               ,B1/H26,51,34,50,0,0,Actv,43,220,0
1430306140,PIN-DOWEL                          ,C3/F08,0,0,6,0,0,Non,0,0,0
1430310140,PIN-DOWEL                          ,C3/F25,0,0,16,0,0,Non,0,0,0
1461108003QQH,RING-RETAINER                      ,A1/H04,1,1,122,0,0,Actv,0.17,1,0
1472022006S,CLIP-HOSE                          ,B1/I19,0,0,3,0,0,Non,0,0,0
1491005000,RETAINER-TAPPING SCREW             ,B1/H20,0,0,2,0,1,Non,0,0,0
1571717123,PLUG-TAPER                         ,B1/F37,0,0,5,0,0,Non,0,0,0
1573420000,CAP-SEALING                        ,C3/F27,0,0,1,0,0,Non,0,0,0
1731312000,PLUG                               ,B1/I25,0,0,4,0,0,Non,0,0,0
